auprc,auroc,f1,mcc,balanced_acc,dataset,seed,classifier,method,status,error,sampler_activation,sampler_geometric_need,sampler_majority_removed,sampler_synthetic_added,sampler_majority_synthetic_added,sampler_weighted,sampler_profile,sampler_overlap,sampler_boundary_conflict,sampler_minority_sparsity,sampler_majority_sparsity,sampler_imbalance_pressure,sampler_minority_sufficiency
0.1467074592074592,0.6009742236655166,0.28,0.2093676098403403,0.6009742236655166,abalone,0,DT,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.3524929318503297,0.8667969014275083,0.1333333333333333,0.1687423255279581,0.5345037548203775,abalone,0,GBM,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.2417684057602609,0.7894594411744806,0.1785714285714285,0.1421593462538863,0.5482714295379203,abalone,0,KNN,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.2876027024122341,0.8371388945267573,0.3383838383838384,0.3162318387397365,0.7639198971652797,abalone,0,LR,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.3106114668556524,0.8634480075772952,0.1075268817204301,0.1115494371650986,0.5254549759826805,abalone,0,RF,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.3071399673291479,0.8641499221974156,0.3827493261455525,0.3763578956988606,0.80869021040525,abalone,0,SVM,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.3438022411051447,0.8668645558487247,0.4421052631578947,0.3809331215492423,0.7230566267505582,abalone,0,XGBoost,GMR,ok,,0.2655417371532539,0.5386111088247761,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.129159037719997,0.5822170353832623,0.2420382165605095,0.1634979181893378,0.5822170353832623,abalone,1,DT,GMR,ok,,0.2554999142956334,0.5344407285572107,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.3247366540463134,0.8606910899127258,0.1075268817204301,0.1115494371650986,0.5254549759826805,abalone,1,GBM,GMR,ok,,0.2554999142956334,0.5344407285572107,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
0.2180437329760527,0.7720299709085988,0.1666666666666666,0.1144955852360136,0.542994384683039,abalone,1,KNN,GMR,ok,,0.2554999142956334,0.5344407285572107,0.0,0.0,0.0,0.0,identity_large_support,,,,,,
