dataset,method,ir,seed,classifier,auprc,auroc,f1,balanced_acc,ir_before,ir_after,n_train,n_test
S1,None,5,42,KNN,0.46393451845080763,0.7849126460719658,0.4657534246575342,0.6653361101469397,4.61849710982392,4.61849710982392,972,244
S1,None,5,42,RF,0.43597493260359027,0.8056808978363994,0.44155844155844154,0.6553858613907209,4.61849710982392,4.61849710982392,972,244
S1,None,5,42,LR,0.353557757144267,0.7532106907323846,0.43548387096774194,0.6796251301631377,4.61849710982392,4.61849710982392,972,244
S1,None,5,42,DT,0.23886568758852406,0.6119402985074626,0.36585365853658536,0.6147171121138494,4.61849710982392,4.61849710982392,972,244
S1,None,5,42,XGB,0.5182134680228347,0.8191021636006016,0.4864864864864865,0.6769640171236839,4.61849710982392,4.61849710982392,972,244
S1,None,5,0,KNN,0.527901958602513,0.8609857688302672,0.5194805194805194,0.6977322688881176,4.61849710982392,4.61849710982392,972,244
S1,None,5,0,RF,0.6206573351682244,0.8810598171931042,0.6024096385542169,0.7533842415827838,4.61849710982392,4.61849710982392,972,244
S1,None,5,0,LR,0.34198073140868324,0.7592849704963553,0.4262295081967213,0.6704847853754483,4.61849710982392,4.61849710982392,972,244
S1,None,5,0,DT,0.3246434184338821,0.6946083535809325,0.4943820224719101,0.6961124609510587,4.61849710982392,4.61849710982392,972,244
S1,None,5,0,XGB,0.5944077268890354,0.8712831192872844,0.5316455696202531,0.706872613675807,4.61849710982392,4.61849710982392,972,244
S1,None,5,1,KNN,0.5847409992472897,0.8254656947819043,0.5507246376811594,0.7035172972347565,4.61849710982392,4.61849710982392,972,244
S1,None,5,1,RF,0.5883442554913811,0.8321763276640055,0.5333333333333333,0.702707393266227,4.61849710982392,4.61849710982392,972,244
S1,None,5,1,LR,0.3438609973702879,0.7799375216938562,0.41739130434782606,0.6596667823672335,4.61849710982392,4.61849710982392,972,244
S1,None,5,1,DT,0.3434769167818056,0.7076825176443365,0.5111111111111111,0.7077403679278028,4.61849710982392,4.61849710982392,972,244
S1,None,5,1,XGB,0.5889236852925713,0.8471595510818003,0.5542168674698795,0.7251533032511859,4.61849710982392,4.61849710982392,972,244
S1,None,5,2,KNN,0.626128784200821,0.8803656137915076,0.6753246753246753,0.782425083882911,4.61849710982392,4.61849710982392,972,244
S1,None,5,2,RF,0.5995170048447218,0.8740599328936711,0.4857142857142857,0.6727987967141039,4.61849710982392,4.61849710982392,972,244
S1,None,5,2,LR,0.4496018562048108,0.7998380192062942,0.4925373134328358,0.739442323267384,4.61849710982392,4.61849710982392,972,244
S1,None,5,2,DT,0.2900590540546798,0.655848663658452,0.43902439024390244,0.6570635196112461,4.61849710982392,4.61849710982392,972,244
S1,None,5,2,XGB,0.6474933847665548,0.8657873423579775,0.4864864864864865,0.6769640171236839,4.61849710982392,4.61849710982392,972,244
S1,None,5,3,KNN,0.45314932700512567,0.7819622816151799,0.43478260869565216,0.6470554205715608,4.61849710982392,4.61849710982392,972,244
S1,None,5,3,RF,0.5055868530710345,0.798333911836168,0.4507042253521127,0.6561957653592503,4.61849710982392,4.61849710982392,972,244
S1,None,5,3,LR,0.3250505913867877,0.7228392919125304,0.4342105263157895,0.6946662038643989,4.61849710982392,4.61849710982392,972,244
S1,None,5,3,DT,0.2952298301988291,0.6727409464306375,0.47058823529411764,0.6778317713756797,4.61849710982392,4.61849710982392,972,244
S1,None,5,3,XGB,0.4922781678226092,0.8104824713641097,0.4533333333333333,0.6603609857688303,4.61849710982392,4.61849710982392,972,244
S1,None,10,42,KNN,0.39905262883296966,0.7960095294818343,0.45714285714285713,0.6647806233869367,9.276595744670983,9.276595744670983,966,242
S1,None,10,42,RF,0.27734820571034374,0.7600754417311892,0.3076923076923077,0.6076037323803851,9.276595744670983,9.276595744670983,966,242
S1,None,10,42,LR,0.25332597545269586,0.7955132023029581,0.35789473684210527,0.7439944411355965,9.276595744670983,9.276595744670983,966,242
S1,None,10,42,DT,0.12171578969997943,0.580405002977963,0.24,0.5824895771292435,9.276595744670983,9.276595744670983,966,242
S1,None,10,42,XGB,0.38779964655330834,0.8220170736549534,0.2926829268292683,0.6030375223347231,9.276595744670983,9.276595744670983,966,242
S1,None,10,0,KNN,0.28206543127491746,0.8344252531268612,0.2926829268292683,0.6030375223347231,9.276595744670983,9.276595744670983,966,242
S1,None,10,0,RF,0.3566223922412353,0.8719475878499107,0.43902439024390244,0.675104228707564,9.276595744670983,9.276595744670983,966,242
S1,None,10,0,LR,0.2538283923474622,0.7786380782211634,0.3157894736842105,0.6959499702203693,9.276595744670983,9.276595744670983,966,242
S1,None,10,0,DT,0.1779255000598874,0.6373833631129641,0.3404255319148936,0.6373833631129641,9.276595744670983,9.276595744670983,966,242
S1,None,10,0,XGB,0.33615751465111515,0.8681755012904507,0.3333333333333333,0.6247766527695057,9.276595744670983,9.276595744670983,966,242
S1,None,10,1,KNN,0.5473447501115485,0.8164582092515387,0.5555555555555556,0.7105419892793329,9.276595744670983,9.276595744670983,966,242
S1,None,10,1,RF,0.5435745283494386,0.8323406789755807,0.4864864864864865,0.6842366487988882,9.276595744670983,9.276595744670983,966,242
S1,None,10,1,LR,0.22209859053209435,0.7937264244590033,0.39215686274509803,0.8000794123486201,9.276595744670983,9.276595744670983,966,242
S1,None,10,1,DT,0.21793029105282072,0.6645820925153861,0.391304347826087,0.6636887035934088,9.276595744670983,9.276595744670983,966,242
S1,None,10,1,XGB,0.5375245295816282,0.8356164383561644,0.42105263157894735,0.6579313083184435,9.276595744670983,9.276595744670983,966,242
S1,None,10,2,KNN,0.33037318412812483,0.8110978757196744,0.35294117647058826,0.6190192574945403,9.276595744670983,9.276595744670983,966,242
S1,None,10,2,RF,0.3377944927825391,0.830156839388525,0.3783783783783784,0.6361921778836609,9.276595744670983,9.276595744670983,966,242
S1,None,10,2,LR,0.3044463026714811,0.8214214810403018,0.3711340206185567,0.7634504665475481,9.276595744670983,9.276595744670983,966,242
S1,None,10,2,DT,0.18085000199624707,0.6266626960492356,0.34146341463414637,0.6270597577923367,9.276595744670983,9.276595744670983,966,242
S1,None,10,2,XGB,0.37466397865447165,0.8821719277347627,0.3157894736842105,0.6098868374032161,9.276595744670983,9.276595744670983,966,242
S1,None,10,3,KNN,0.5270791981616921,0.8677784395473497,0.5,0.6865197538217193,9.276595744670983,9.276595744670983,966,242
S1,None,10,3,RF,0.47166516305436346,0.8764145324597976,0.5,0.7014095691880087,9.276595744670983,9.276595744670983,966,242
S1,None,10,3,LR,0.21665329369360375,0.7627556084971212,0.2909090909090909,0.6857256303355171,9.276595744670983,9.276595744670983,966,242
S1,None,10,3,DT,0.26453659976387245,0.7380385149890807,0.4727272727272727,0.7392297002183839,9.276595744670983,9.276595744670983,966,242
S1,None,10,3,XGB,0.5452086982232636,0.895473496128648,0.5106382978723404,0.7334723049434186,9.276595744670983,9.276595744670983,966,242
S1,None,20,42,KNN,0.3750942423995878,0.8002183406113536,0.35294117647058826,0.6206331877729258,18.65306122445173,18.65306122445173,963,241
S1,None,20,42,RF,0.3426666489163179,0.8386098981077148,0.3157894736842105,0.6162663755458515,18.65306122445173,18.65306122445173,963,241
S1,None,20,42,LR,0.19614590804744994,0.8628093158660843,0.2619047619047619,0.8251455604075691,18.65306122445173,18.65306122445173,963,241
S1,None,20,42,DT,0.14397619870908251,0.6823144104803494,0.35714285714285715,0.6843158660844251,18.65306122445173,18.65306122445173,963,241
S1,None,20,42,XGB,0.25468642423299287,0.8295123726346434,0.3333333333333333,0.6491994177583698,18.65306122445173,18.65306122445173,963,241
S1,None,20,0,KNN,0.0885694526773365,0.6371906841339157,0.10526315789473684,0.528566229985444,18.65306122445173,18.65306122445173,963,241
S1,None,20,0,RF,0.13853049941169618,0.7312590975254731,0.0,0.4847161572052402,18.65306122445173,18.65306122445173,963,241
